Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR
2019-08-06,Arsenal,Aston Villa,1,1,D,0,0,D,G Poll,19,5,11,3,10,19,1,2,0,0
2019-08-06,Bolton,Tottenham,2,0,H,2,0,H,P Dowd,8,9,6,6,19,22,0,1,0,0
2019-08-06,Everton,Watford,2,1,H,1,0,H,P Walton,6,12,2,8,12,13,2,2,0,0
2019-08-06,Newcastle,Wigan,2,1,H,1,0,H,M Atkinson,9,14,8,9,17,20,1,2,0,0
2019-08-06,Portsmouth,Blackburn,3,0,H,1,0,H,A Wiley,21,9,16,7,20,17,2,1,0,2
2019-08-06,Reading,Middlesbrough,3,2,H,2,2,D,M Halsey,14,7,9,5,8,15,1,3,0,0
2019-08-06,Sheffield United,Liverpool,1,1,D,0,0,D,R Styles,5,12,3,7,10,16,1,2,0,0
2019-08-06,West Ham,Charlton,3,1,H,0,1,A,H Webb,16,4,5,2,14,14,2,2,0,1
2020-08-06,Chelsea,Man City,3,0,H,2,0,H,S Bennett,10,5,4,2,7,15,1,3,0,1
2020-08-06,Man United,Fulham,5,1,H,4,1,H,A Marriner,15,12,7,8,14,20,1,1,0,0
2022-08-06,Tottenham,Sheffield United,2,0,H,2,0,H,P Walton,18,6,13,3,5,9,0,1,0,0
2022-08-06,Watford,West Ham,1,1,D,0,0,D,M Atkinson,11,8,4,4,12,12,0,0,0,0
2023-08-06,Aston Villa,Reading,2,1,H,1,1,D,L Mason,11,5,6,3,9,6,2,1,0,1
2023-08-06,Blackburn,Everton,1,1,D,0,0,D,U Rennie,10,10,5,4,22,20,4,3,0,0
2023-08-06,Charlton,Man United,0,3,A,0,0,D,C Foy,8,21,2,11,14,11,1,1,0,0
2023-08-06,Fulham,Bolton,1,1,D,0,0,D,A Wiley,11,4,4,1,9,16,0,2,0,0
2023-08-06,Man City,Portsmouth,0,0,D,0,0,D,D Gallagher,6,3,3,1,15,13,2,1,0,0
2023-08-06,Middlesbrough,Chelsea,2,1,H,0,1,A,H Webb,9,8,2,5,15,7,2,2,0,0
2026-08-06,Charlton,Bolton,2,0,H,0,0,D,M Dean,9,7,5,2,11,17,1,4,1,1
2026-08-06,Fulham,Sheffield United,1,0,H,1,0,H,G Poll,10,9,5,1,17,17,3,3,0,0
2026-08-06,Liverpool,West Ham,2,1,H,2,1,H,A Wiley,19,8,8,3,15,6,1,0,0,0
2026-08-06,Man City,Arsenal,1,0,H,1,0,H,U Rennie,10,17,3,6,16,8,1,1,0,0
